amount,location
17835,0
10780,1
6880,2
6845,3
5830,4
5630,5
5500,6
5430,7
5200,8
4770,9
4705,10
4640,11
4510,12
3990,13
3985,14
3970,15
3740,16
3720,17
3710,18
3420,19
3195,20
3055,21
3025,22
3015,23
2940,24
2900,25
2900,26
2870,27
2855,28
2810,29
2810,30
2785,31
2735,32
2735,33
2710,34
2700,35
2685,36
2495,37
2480,38
2395,39
2335,40
2330,41
2325,42
2325,43
2270,44
2210,45
2035,46
2020,47
1980,48
1975,49
1960,50
1900,51
1875,52
1865,53
1855,54
1815,55
1790,56
1750,57
1720,58
1710,59
1700,60
1700,61
1685,62
1680,63
1670,64
1645,65
1640,66
1635,67
1605,68
1600,69
1595,70
1575,71
1555,72
1525,73
1500,74
1490,75
1465,76
1465,77
1465,78
1450,79
1450,80
1435,81
1430,82
1420,83
1405,84
1385,85
1385,86
1385,87
1370,88
1350,89
1335,90
1325,91
1310,92
1285,93
1280,94
1275,95
1275,96
1275,97
1265,98
1250,99
1250,100
1245,101
1245,102
1240,103
1220,104
1210,105
1205,106
1200,107
1200,108
1190,109
1180,110
1180,111
1135,112
1135,113
1115,114
1100,115
1095,116
1095,117
1095,118
1090,119
1085,120
1085,121
1080,122
1080,123
1070,124
1060,125
1050,126
1045,127
1045,128
1040,129
1035,130
1035,131
1000,132
1000,133
1000,134
